id,MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability
77,3,6,6,3,5,5,5,3,5,5,4,5,6,5,7,9,8,4,6,10,0.565
78,2,9,3,4,8,6,5,4,5,4,5,3,5,3,6,0,4,8,3,10,0.485
79,4,10,4,5,4,12,10,3,5,3,6,7,5,4,5,6,4,2,7,4,0.56
80,4,6,3,3,7,2,9,7,6,4,7,2,5,5,3,6,2,4,1,4,0.425
81,2,7,4,3,2,10,5,6,6,6,3,10,5,3,4,0,3,4,6,6,0.47
82,5,6,7,5,3,3,7,6,7,4,8,4,3,5,3,4,4,9,4,9,0.555
83,4,7,4,10,6,7,6,0,6,7,0,7,1,7,9,10,3,2,6,6,0.525
84,3,6,5,3,3,6,2,4,7,4,5,4,6,5,2,7,6,5,8,4,0.47
85,6,4,4,0,4,11,8,6,5,3,5,2,4,5,4,4,5,4,3,4,0.435
86,3,5,5,2,7,6,4,7,5,8,6,6,5,5,5,5,7,7,6,5,0.57
87,6,7,4,9,6,3,3,2,4,5,6,3,7,6,7,3,4,3,8,4,0.505
88,1,8,2,6,1,5,5,4,4,6,6,5,7,2,6,2,10,5,6,5,0.48
89,5,4,7,4,9,6,5,5,4,6,7,5,6,5,4,6,4,10,3,6,0.59
90,6,4,8,3,7,8,4,2,0,6,6,6,5,4,4,1,2,4,4,7,0.495
91,5,2,6,7,4,5,3,5,5,4,10,3,6,4,4,7,6,5,4,2,0.475
92,5,6,3,6,10,4,1,7,5,3,5,4,6,8,4,6,4,4,1,4,0.49
93,2,7,5,4,7,6,6,5,5,6,2,7,3,6,10,6,4,2,4,3,0.53
94,6,8,7,3,4,5,3,5,4,5,5,4,4,2,4,2,4,7,5,4,0.505
95,4,6,5,2,2,6,6,3,3,2,5,6,4,7,6,6,6,4,6,8,0.51
96,6,4,3,5,6,5,3,6,7,2,4,9,6,5,5,4,3,4,8,1,0.49
97,2,7,5,2,6,4,3,8,3,10,6,3,4,8,0,6,2,6,6,4,0.46
98,2,5,6,3,6,4,11,5,8,9,3,3,5,4,3,5,4,4,5,8,0.55
99,4,6,6,8,1,6,5,8,8,5,1,5,2,3,4,4,3,5,7,4,0.52
100,5,4,4,3,7,4,3,3,7,3,4,5,4,5,6,2,7,9,5,6,0.48
101,4,4,2,3,2,5,6,2,5,5,5,1,7,6,7,6,4,8,4,5,0.505
102,3,5,7,3,3,3,7,10,6,6,5,5,7,2,7,4,7,4,10,3,0.54
103,3,4,2,5,4,4,4,2,5,4,2,4,3,5,3,3,4,3,4,4,0.415
104,5,2,4,8,5,4,4,4,5,4,4,3,3,7,7,5,6,5,4,8,0.465
105,7,4,4,5,2,6,2,4,9,10,5,5,8,7,5,3,10,5,6,2,0.57
106,2,4,6,7,4,8,3,4,6,7,6,6,3,4,5,10,4,4,5,4,0.525
107,3,3,4,3,5,4,3,6,4,6,3,5,5,4,9,5,9,2,8,3,0.45
108,4,6,9,3,0,10,7,3,6,7,5,5,4,4,6,4,3,7,7,6,0.545
109,3,3,5,6,4,8,7,5,3,5,8,3,6,8,4,5,4,5,3,3,0.53
110,8,3,5,3,3,3,6,5,4,3,5,3,4,8,5,8,2,8,3,6,0.52
111,3,5,3,8,7,8,3,2,4,10,7,5,3,3,6,0,2,6,2,5,0.485
112,8,3,1,4,5,9,3,7,9,6,3,2,3,3,9,6,6,0,1,7,0.51
113,4,6,2,5,3,2,11,3,7,8,4,5,5,3,9,6,3,2,2,9,0.515
114,2,9,3,6,5,5,3,3,7,5,4,2,6,7,2,2,6,4,3,5,0.44
115,6,4,6,8,8,4,7,4,10,4,3,3,3,1,3,2,2,5,3,5,0.435
116,3,4,5,6,5,6,3,6,2,8,6,7,6,3,3,9,4,6,3,4,0.495
117,7,4,1,2,7,6,8,5,5,7,3,7,2,9,3,4,7,5,6,8,0.545
118,5,4,5,4,3,3,4,1,3,6,3,8,8,9,5,6,4,2,8,4,0.515
119,5,3,2,6,5,7,9,3,6,2,2,4,7,5,3,5,6,4,6,2,0.485
120,7,10,6,4,7,5,3,3,4,4,4,5,6,6,5,3,5,5,3,3,0.485
121,5,9,5,4,6,6,4,2,5,3,2,7,3,2,4,5,1,1,4,4,0.395
122,5,4,5,6,9,7,7,6,5,4,7,5,4,6,5,9,7,3,6,2,0.57
123,11,5,3,5,5,4,6,2,4,2,6,4,3,3,7,3,5,6,2,9,0.47
124,6,5,6,6,6,5,7,4,4,4,8,6,5,4,4,6,5,3,4,6,0.52
125,8,10,3,3,3,3,10,6,4,9,4,6,5,4,6,6,4,6,5,8,0.6
126,4,7,4,2,6,6,5,6,5,5,6,9,4,7,3,3,3,8,5,6,0.525
127,5,8,4,5,7,5,3,8,3,4,1,5,4,5,3,4,5,6,5,4,0.49
128,8,3,2,4,3,9,5,5,8,5,6,3,2,1,8,0,7,6,5,5,0.47
129,7,4,6,4,8,6,2,5,8,5,3,5,2,6,6,2,7,2,5,3,0.465
130,2,9,1,8,4,3,8,3,4,7,4,4,6,4,7,7,8,4,4,11,0.565
131,5,3,4,5,7,5,9,5,4,4,0,5,5,7,4,8,3,4,2,1,0.495
132,6,4,2,6,4,8,6,6,4,5,4,4,3,4,3,4,5,5,6,5,0.445
133,2,7,6,9,6,5,2,7,5,6,5,9,2,2,3,8,4,9,3,5,0.595
134,8,6,6,0,6,8,3,2,3,5,1,4,5,2,8,3,4,2,5,3,0.41
135,9,3,7,7,4,2,2,1,12,3,4,3,3,8,7,4,5,8,3,8,0.52
136,4,3,6,2,8,4,7,3,4,3,8,4,5,4,8,2,8,5,5,5,0.475
137,5,2,5,4,2,5,3,4,1,5,4,2,1,3,8,3,4,8,2,3,0.415
138,3,4,3,6,6,3,5,4,3,4,3,4,1,8,4,4,3,7,8,3,0.43
139,6,5,9,6,7,5,8,7,2,5,2,5,5,7,3,6,2,6,7,2,0.535
140,3,5,5,9,5,6,2,5,3,6,3,3,2,3,6,5,4,6,4,8,0.455
141,4,3,3,3,6,4,3,2,3,2,5,5,4,0,3,5,5,4,9,4,0.38
142,4,4,7,3,4,5,3,2,4,5,5,2,6,7,4,3,5,4,6,8,0.505
143,9,4,5,7,7,5,4,5,8,2,5,5,4,5,4,6,3,4,4,9,0.53
144,5,2,1,7,4,3,4,3,6,1,5,2,4,5,0,6,2,3,3,4,0.34
145,7,5,5,5,5,3,6,3,5,2,3,4,8,2,3,3,5,5,6,6,0.485
146,6,4,5,10,1,6,2,11,7,4,5,1,7,4,6,5,5,6,3,6,0.535
147,3,2,1,4,10,2,9,6,6,7,7,7,6,4,5,4,3,5,3,5,0.495
148,2,4,7,3,3,9,7,5,1,5,4,4,7,10,2,5,2,4,3,5,0.455
149,4,5,9,5,5,5,7,7,6,2,3,1,7,5,5,3,9,2,3,4,0.51
150,4,6,3,8,6,4,3,4,4,8,4,5,3,4,2,7,5,5,5,3,0.445
151,4,2,3,6,4,6,5,3,5,3,8,5,3,8,11,6,10,9,6,6,0.595
152,4,3,1,4,3,9,5,2,5,7,5,3,4,9,3,3,1,2,5,1,0.415
153,5,4,4,5,6,6,4,6,6,4,5,5,3,8,4,4,7,4,3,4,0.5
154,7,1,4,4,8,8,5,3,5,3,7,5,6,6,5,6,3,4,8,4,0.55
155,4,5,6,1,5,7,5,5,4,4,9,5,5,6,3,7,5,3,6,3,0.475
156,4,3,9,7,8,2,6,3,8,4,7,3,4,2,5,6,2,3,4,7,0.465
157,10,5,4,1,9,7,6,1,7,3,2,5,4,2,5,5,6,5,1,3,0.455
158,6,3,6,4,4,9,0,7,2,6,2,5,2,6,10,7,5,3,3,6,0.48
159,4,3,2,3,9,3,7,3,3,6,2,5,7,5,5,6,4,6,3,7,0.455
160,5,4,5,3,8,8,9,4,6,4,7,8,1,2,10,5,6,9,3,5,0.57
161,4,6,5,5,3,2,4,8,5,6,3,8,2,5,8,6,6,3,1,7,0.475
162,6,5,7,5,3,6,4,14,3,4,2,2,4,0,6,6,2,2,3,9,0.455
163,4,3,6,8,5,6,4,4,3,5,5,3,4,5,7,4,5,8,3,6,0.53
164,2,4,5,6,7,4,3,3,5,5,8,6,7,6,4,2,6,6,1,7,0.5
165,6,8,5,4,5,3,5,2,5,6,3,2,5,4,7,3,5,6,5,4,0.455
166,2,3,4,7,8,2,5,2,4,9,9,4,6,5,9,7,6,8,3,4,0.57
167,7,6,4,2,3,6,5,3,5,2,4,5,5,4,4,5,7,8,10,2,0.49
168,4,4,1,7,5,6,6,6,4,5,7,4,2,2,6,5,8,4,5,6,0.485
169,8,6,7,5,4,4,4,4,5,10,8,6,4,4,5,2,3,4,6,6,0.53
170,1,7,3,7,6,0,4,3,3,4,10,9,7,4,1,0,5,5,9,5,0.445
171,3,9,4,1,6,6,4,1,4,2,6,6,5,7,5,9,4,7,8,8,0.535
172,2,7,5,7,7,5,4,7,2,4,8,4,5,2,4,2,9,6,7,2,0.515
173,4,9,6,7,3,7,5,7,2,5,5,5,2,5,6,6,2,4,3,7,0.505
174,5,3,6,5,4,5,8,5,4,4,5,7,4,6,6,1,3,3,4,4,0.445
175,7,4,7,4,4,5,7,5,5,3,6,6,8,6,6,6,4,5,3,6,0.56
176,8,5,4,8,3,4,5,6,3,2,4,3,5,7,4,3,7,3,4,6,0.445
177,7,3,7,3,5,1,4,9,10,6,1,7,4,3,3,6,0,9,5,4,0.485
178,5,4,4,7,1,5,6,8,8,10,6,2,3,7,4,8,5,2,6,4,0.53
179,2,4,2,1,5,5,8,5,4,5,5,8,2,3,5,4,8,7,7,6,0.48
180,4,5,5,1,8,0,5,5,8,6,4,9,5,2,4,5,3,2,5,4,0.425
181,5,7,3,6,3,5,1,5,5,7,8,2,5,2,1,5,4,3,8,6,0.455
182,2,2,5,5,2,6,7,5,4,7,10,5,8,4,8,4,2,5,6,9,0.555
183,3,8,2,5,4,3,7,3,7,5,3,5,6,3,5,4,4,6,9,6,0.485
184,4,3,5,0,3,1,1,4,6,5,7,5,5,1,4,7,7,3,2,7,0.415
185,8,3,3,5,7,4,6,5,5,4,3,8,5,4,5,6,3,6,4,3,0.475
186,4,6,8,6,6,4,5,2,4,6,2,6,8,5,7,2,5,6,2,5,0.53
187,7,7,3,7,9,6,1,4,4,3,3,5,4,6,2,3,6,4,5,3,0.515
188,3,8,7,1,6,1,4,4,3,4,0,4,8,3,2,3,1,4,1,7,0.415
189,4,9,1,5,3,1,4,5,5,4,4,3,2,2,6,4,4,3,3,9,0.4
190,5,3,10,4,5,4,5,5,4,8,5,5,2,4,5,4,9,3,7,7,0.52
191,6,4,5,4,5,7,3,5,5,2,5,4,3,8,4,6,3,6,9,4,0.49
192,2,4,8,4,4,8,4,5,9,1,3,5,3,3,7,2,6,5,8,8,0.515
193,4,3,1,3,4,5,6,8,3,4,3,0,9,2,3,3,7,1,1,2,0.415
194,8,4,11,6,5,5,5,4,5,4,5,5,4,5,5,3,4,4,6,6,0.535
195,3,2,6,6,8,3,5,8,3,9,2,5,4,5,5,9,4,6,5,2,0.555
196,4,5,4,4,9,6,6,5,2,7,3,7,7,6,7,2,5,5,3,2,0.495
197,4,4,7,5,3,6,2,4,5,6,6,5,3,1,5,8,3,8,3,3,0.455
198,6,6,2,10,3,4,5,3,10,5,4,4,5,3,5,9,6,4,3,8,0.555
199,6,7,1,8,2,2,6,1,5,6,6,4,8,5,5,4,3,3,7,4,0.49
200,6,4,11,6,4,8,3,2,4,5,3,3,3,4,7,4,6,4,6,2,0.47
201,4,2,12,4,9,2,8,2,5,1,5,5,5,4,5,6,2,4,4,8,0.475
202,3,2,7,4,4,7,1,6,3,3,9,4,10,5,4,8,5,5,4,2,0.48
203,6,12,3,3,7,3,3,5,5,5,1,6,6,6,6,3,3,5,7,5,0.505
204,4,5,8,5,5,3,5,5,3,2,5,2,4,5,6,7,8,4,2,2,0.46
205,3,5,8,5,4,8,6,5,8,3,4,3,6,6,5,9,4,8,6,5,0.585
206,7,1,5,2,3,1,11,5,4,2,10,5,8,7,7,4,6,4,7,8,0.54
207,2,4,9,3,8,5,2,5,2,5,7,1,5,4,8,4,5,7,5,7,0.49
208,4,7,8,4,5,6,5,8,3,3,6,6,8,4,5,1,7,7,3,5,0.535
209,8,4,6,4,4,3,6,3,5,4,2,6,6,4,9,4,3,7,3,5,0.5
210,3,7,5,5,6,3,3,3,4,6,7,2,7,7,10,2,6,4,3,6,0.515
211,5,4,7,6,3,10,9,0,5,5,4,4,7,7,3,6,3,5,3,4,0.505
212,4,4,1,5,3,4,5,6,3,7,3,7,8,4,1,5,6,4,5,4,0.45
213,4,3,5,5,9,9,4,8,4,4,4,6,4,6,3,5,5,4,4,9,0.535
214,2,2,6,1,6,6,5,4,8,3,10,5,5,7,5,3,3,8,7,6,0.55
215,5,8,6,7,10,3,2,3,5,5,6,4,3,5,8,2,6,13,9,3,0.575
216,5,4,6,6,3,3,6,6,5,6,2,2,8,2,5,6,3,3,4,5,0.46
217,9,6,3,5,2,3,8,4,9,8,3,8,5,8,4,5,5,10,5,2,0.595
218,8,5,8,8,4,8,6,4,3,6,5,5,3,5,4,2,4,4,7,8,0.56
219,6,6,4,3,9,5,5,4,9,7,5,2,4,4,4,3,6,6,4,4,0.505
220,5,7,0,7,8,4,6,2,10,9,10,4,2,7,1,5,4,1,6,1,0.515
221,3,5,5,4,5,6,5,10,4,3,5,6,5,2,3,4,6,6,5,8,0.515
222,3,7,3,6,2,4,7,4,1,6,3,3,6,5,4,4,4,4,2,6,0.42
223,7,3,6,4,8,3,5,3,7,7,8,2,4,2,6,4,4,4,5,2,0.445
224,5,5,7,10,7,8,3,4,3,9,5,6,3,4,5,3,6,3,4,3,0.52
225,1,3,4,6,2,4,5,2,5,6,4,5,4,7,5,3,5,9,6,6,0.505
226,2,4,4,5,4,10,7,5,4,4,6,6,10,3,2,6,4,4,3,6,0.52
227,7,6,4,7,4,5,2,3,8,5,5,4,7,4,6,2,3,7,4,3,0.465
228,2,6,3,2,6,3,5,5,6,5,6,3,4,7,8,7,0,5,6,3,0.505
229,3,4,5,5,5,5,5,1,5,6,8,5,5,4,7,4,7,4,6,6,0.53
230,3,3,3,6,7,6,3,7,1,9,4,1,9,7,3,6,3,4,7,7,0.53
231,4,4,4,6,4,7,4,5,7,10,3,3,5,6,6,5,9,4,3,1,0.54
232,3,6,7,9,5,6,7,5,1,5,0,9,4,6,8,5,2,6,5,6,0.545
233,4,4,4,3,2,6,6,4,5,9,5,6,4,5,4,4,2,7,3,2,0.44
234,4,2,5,3,4,6,2,5,4,4,5,6,6,10,2,4,7,7,10,6,0.525
235,5,4,5,3,6,5,6,3,2,2,7,4,4,8,10,7,2,4,5,5,0.5
236,8,9,3,6,4,4,6,6,5,3,4,5,6,6,3,5,4,3,8,8,0.555
237,3,5,6,7,6,1,6,11,12,3,6,3,2,2,5,3,6,3,8,5,0.52
238,7,6,4,5,2,4,6,3,5,7,5,8,4,3,6,7,8,6,3,6,0.545
239,0,4,8,5,1,5,5,3,5,5,4,4,5,4,6,8,3,5,4,6,0.425
240,5,5,5,8,5,6,10,4,4,5,5,3,6,4,1,5,2,6,5,6,0.555
241,6,4,6,4,4,3,4,6,5,3,4,6,3,5,6,8,2,6,4,6,0.47
242,2,8,7,5,7,3,0,4,5,6,8,2,3,5,2,4,4,6,6,5,0.505
243,3,2,2,6,4,4,6,5,2,6,5,0,4,6,6,3,6,6,4,6,0.41
244,3,5,4,7,5,7,9,6,5,2,6,5,7,7,4,4,2,8,5,6,0.56
245,6,6,10,9,6,4,5,4,6,5,8,3,8,4,3,5,3,2,2,4,0.525
246,4,3,5,4,4,3,3,4,6,4,7,7,3,3,2,7,3,8,3,7,0.495
247,2,10,2,6,4,5,6,1,4,2,4,3,3,5,8,2,8,9,6,7,0.49
248,6,2,6,8,5,4,4,4,4,3,2,4,7,4,6,7,2,4,9,3,0.46
249,5,2,4,3,4,4,1,5,1,3,6,3,5,6,3,2,3,4,5,3,0.415
250,3,6,7,5,3,6,8,5,3,5,4,7,5,5,5,4,4,4,5,6,0.54
251,6,3,3,5,4,5,7,6,5,8,5,2,6,8,4,5,2,3,6,4,0.485
252,7,4,4,0,4,5,4,6,9,3,3,5,8,3,2,6,4,9,1,5,0.445
253,6,1,9,7,4,3,5,7,2,7,8,5,5,5,5,4,9,4,3,6,0.535
254,8,0,4,8,7,8,6,5,4,2,9,3,4,5,3,4,3,4,3,2,0.47
255,4,5,2,7,5,3,4,2,3,8,3,5,8,4,9,6,8,4,3,8,0.505
256,5,6,5,4,5,7,3,1,8,6,4,4,5,10,2,8,5,4,4,6,0.51
257,5,7,6,7,4,4,4,7,2,5,3,5,5,4,2,1,9,9,6,5,0.515
258,7,3,1,5,4,5,1,5,9,4,5,13,3,6,2,8,4,6,4,5,0.53
259,8,5,8,5,2,5,4,2,6,4,8,4,3,7,4,3,6,5,6,4,0.495
260,5,5,4,7,6,6,4,3,3,5,4,4,4,4,7,7,2,10,7,11,0.565
261,6,5,5,7,4,4,9,3,3,7,1,5,5,8,6,3,2,3,8,2,0.465
262,5,6,10,7,8,6,6,5,5,3,5,4,4,7,5,3,5,6,8,1,0.565
263,3,5,5,6,9,4,5,7,5,5,2,2,3,5,5,7,4,8,3,3,0.49
264,2,6,5,3,5,5,9,3,6,4,6,4,5,4,4,9,3,3,4,5,0.47
265,6,3,4,4,5,1,4,9,2,7,2,6,3,7,6,4,8,8,5,3,0.485
266,2,8,4,3,5,4,5,7,2,9,3,1,6,3,9,2,7,4,5,4,0.46
267,3,4,5,6,6,3,5,5,8,6,4,6,3,5,5,5,3,7,5,3,0.475
268,3,2,3,5,7,4,5,4,7,5,2,0,5,8,6,3,8,5,10,5,0.475
269,6,4,5,3,3,3,2,8,7,4,4,5,3,6,3,13,6,7,3,2,0.51
270,6,10,6,3,4,4,9,8,5,5,3,3,3,3,7,4,10,9,2,3,0.545
271,4,7,8,5,5,5,4,3,4,3,6,3,4,5,7,7,9,4,5,7,0.555
272,3,4,8,9,8,3,1,3,3,7,8,2,5,8,7,4,6,4,5,3,0.54
273,6,7,2,2,3,6,6,3,4,13,2,5,5,2,1,7,7,3,4,3,0.495
274,6,3,4,7,6,5,4,6,5,5,2,8,4,8,4,4,2,4,5,8,0.505
275,6,6,1,6,7,1,4,6,3,11,5,4,8,8,3,5,4,4,5,6,0.55
276,6,7,3,6,3,5,2,5,4,4,6,5,3,5,4,6,6,10,6,4,0.555
277,3,2,3,5,3,4,2,7,5,5,4,9,5,4,6,3,5,4,6,9,0.45
278,5,3,5,4,6,8,5,5,5,3,5,4,5,5,4,5,5,8,4,4,0.5
279,5,4,6,5,7,9,5,6,3,6,7,4,3,4,8,4,6,6,4,5,0.56
280,2,5,5,5,3,6,8,2,7,3,7,7,5,4,1,3,4,2,3,3,0.42
281,2,2,6,5,7,4,3,4,4,7,7,9,5,7,6,10,8,6,8,5,0.6
282,3,7,7,2,7,4,0,7,2,5,6,4,4,9,2,5,4,4,8,6,0.465
283,4,3,8,3,3,10,2,4,5,3,3,4,5,8,5,7,6,6,3,2,0.49
284,4,2,5,5,8,3,3,2,5,5,8,2,4,5,7,4,6,6,4,4,0.445
285,7,5,5,5,1,4,5,3,5,7,8,5,4,3,10,1,6,4,3,1,0.505
286,7,7,2,5,6,10,5,4,3,1,7,6,4,5,5,6,8,2,6,4,0.525
287,4,6,5,8,3,6,8,5,5,6,3,5,5,2,4,2,4,2,4,5,0.515
288,7,8,4,8,2,6,6,6,3,6,4,2,5,1,4,6,8,7,1,4,0.49
289,7,5,6,8,5,4,6,5,7,6,6,3,6,5,3,5,5,4,4,2,0.55
290,5,6,2,6,4,3,5,6,9,5,5,7,5,7,4,9,3,5,5,4,0.555
291,5,3,4,9,6,7,6,4,5,3,7,4,4,3,8,4,6,2,5,5,0.505
292,4,4,2,3,5,5,7,9,7,8,4,7,4,7,1,8,5,5,6,5,0.545
293,6,5,5,6,6,5,8,5,6,2,2,8,5,5,7,2,5,7,8,4,0.545
294,4,3,4,6,5,8,2,8,6,4,2,5,4,6,4,10,8,11,6,5,0.585
295,3,5,10,3,5,4,3,3,6,4,5,6,2,5,5,3,9,4,9,5,0.495
